Year,All forcings,Human,Natural,Anthropogenic tropospheric aerosol,Greenhouse gases,Land use,Orbital changes,Ozone,Solar,Volcanic,Error
1880,0.044076571,-0.033374852,0.117691835,-0.043761958,-0.018527316,0.014239406,-0.014942426,-0.023927458,-0.047627519,0.057198965,0.2
1881,0.094546271,0.013968748,0.157515535,0.020923542,-0.032186016,-0.038676494,-0.041071826,-0.028610758,-0.029646719,0.087269465,0.2
1882,0.070560271,-0.070690452,0.148232135,0.013816342,-0.071612616,-0.005155994,-0.023365826,-0.037841458,0.001041481,0.084431265,0.2
1883,0.015031271,-0.040101552,0.041166135,0.042470542,-0.024318816,0.014372506,-0.024808626,-0.025286058,-0.011486919,0.019070065,0.2
1884,-0.311790029,0.029194448,-0.267087165,-0.033441858,-0.036535016,-0.002963194,-0.004132926,-0.028323658,0.027416981,-0.313198735,0.2
1885,-0.270397929,0.028953048,-0.232972765,-0.021603558,-0.049109416,0.046017506,-0.030580026,-0.011123658,0.085293481,-0.313779335,0.2
1886,-0.211310429,0.061355748,-0.134891965,0.014693142,-0.018711516,0.034872306,-0.047317326,-0.018984358,0.044668081,-0.188731135,0.2
1887,-0.151373329,0.050672748,-0.128214665,-0.020713658,0.023032084,0.036730206,-0.002371826,-0.031205558,0.002413581,-0.092624535,0.2
1888,-0.086267029,-0.004946752,-0.101969665,-0.056163558,-0.012976216,0.033590606,0.003376674,-0.002061258,-0.005804219,-0.050373635,0.2
1889,-0.069305029,-0.004911052,-0.076865165,-0.031383058,-0.057504516,0.032517406,-0.056595726,-0.001164558,0.002465981,-0.041354335,0.2
1890,-0.063830429,0.044712648,-0.101118765,0.016633442,-0.073061716,-0.022092894,-0.034047626,-0.028532158,-0.023026219,-0.009838735,0.2
1891,-0.114922029,0.013758448,-0.075731665,0.022250042,-0.024840916,-0.013617894,0.011275874,-0.020942658,-0.008591019,-0.058367035,0.2
1892,-0.116167329,0.016842648,-0.042652965,-0.025047958,-0.000457416,0.002723406,-0.026874526,-0.003843258,-0.004930719,-0.053043635,0.2
1893,0.029300771,0.036132848,-0.043617365,0.031253942,-0.024682816,0.020366606,0.011828174,0.005302942,0.002820281,-0.002936835,0.2
1894,0.087399671,0.026102248,0.038581135,0.010101542,0.011008584,-0.012939394,-0.001166626,0.036620542,0.026848881,0.027488265,0.2
1895,0.118690771,-0.028859652,0.035484735,-0.011575358,0.027584984,-0.006146694,0.009841774,0.015820642,0.042994381,0.096138465,0.2
1896,0.065016871,-0.018689852,0.060821235,0.001908742,0.014195984,-0.012715894,0.016480874,0.001975742,0.019711581,0.085355865,0.2
1897,0.052630171,-0.075360752,0.060961235,0.002532542,-0.005170416,-0.026073994,-0.002180326,-0.008849658,0.004486181,0.092595465,0.2
1898,0.090411571,-0.038291852,0.046194935,-0.012064358,-0.029683116,-0.061803594,0.017450974,0.013828742,-0.000375919,0.094872565,0.2
1899,0.095809871,-0.010491052,0.032869335,0.034501842,0.012827284,-0.054797694,0.048220074,-0.015832858,0.026473881,0.052575665,0.2
1900,0.094027971,0.005568648,0.070074335,0.009337542,0.012135184,-0.019925894,-0.008550126,-0.027767458,-0.018494019,0.146103065,0.2
1901,0.131224371,-0.000296452,0.102521035,-0.011934758,-0.017881516,-0.049163994,0.049167974,-0.015827258,-0.007201919,0.111949565,0.2
1902,0.091498271,0.001227348,0.113117735,0.010692442,0.069943084,-0.026440894,0.045385774,0.009454442,-0.001037319,0.067298065,0.2
1903,-0.091694529,0.026155648,-0.103745265,0.028049242,-0.004543516,-0.003160494,0.047429974,0.015116642,-0.008096819,-0.111424535,0.2
1904,-0.061845529,-0.014726552,-0.038617865,-0.010286158,0.045678384,-0.012883894,-0.003514226,0.026686442,-0.013536619,-0.055541235,0.2
1905,-0.014359129,-0.034932052,0.034084235,0.016541542,0.085304884,0.000800606,0.047987074,0.037516442,-0.005877319,0.006483965,0.2
1906,0.091307371,-0.067411552,0.007916835,0.006233742,0.039131784,0.021662506,-0.003591926,0.039730642,-0.056811619,0.038430065,0.2
1907,0.074966071,0.016608648,0.057367935,-0.014184458,0.079033384,0.044809306,0.010537474,0.047339742,-0.027012319,0.023459765,0.2
1908,0.078704771,0.013363848,0.038777835,-0.018810158,0.028923884,0.028751706,-0.001654726,0.041443342,-0.017405519,0.028092565,0.2
1909,0.126036871,0.044484448,0.070438235,0.014907142,0.012435184,0.029334806,-0.008997026,0.035117042,-0.012664919,0.095099965,0.2
1910,0.112022971,0.013982248,0.113668835,0.014123542,0.040568184,0.007770006,0.016780974,0.004170742,0.012992881,0.077300665,0.2
1911,0.167518271,0.050998848,0.176617335,0.022589542,0.047178784,-0.033088394,0.008999674,0.026237842,0.009638181,0.110501165,0.2
1912,0.089906771,-0.014928252,0.066533535,0.029904142,0.073060984,-0.004185794,-0.034748326,0.040194242,-0.035131819,0.119111765,0.2
1913,0.001633171,0.001135148,-0.002228265,0.019233642,0.116859684,0.003972006,0.012790074,0.021559742,-0.032019819,0.026472065,0.2
1914,0.054326571,0.041968548,0.088992835,0.031996342,0.062674584,0.021464406,-0.005718126,0.014013942,-0.015477519,0.037424765,0.2
1915,0.097246571,0.015470948,0.143814835,0.037492142,0.081370384,-0.014497494,-0.016185526,0.038226342,-0.016533019,0.084717765,0.2
1916,0.122609071,0.029122348,0.171763335,-0.005518158,0.046535084,0.020363206,-0.031144526,0.074244342,-0.047847019,0.120215265,0.2
1917,0.171903271,-0.012899452,0.165458735,0.026671542,0.046067484,0.068374306,-0.024941126,0.063338242,-0.016399719,0.066063565,0.2
1918,0.152946371,0.025583248,0.151221535,-0.011371258,0.080530784,0.059303006,-0.027264626,0.058972642,0.006509781,0.087328865,0.2
